# laser_power_pct,1
# exposure_time,1.00002
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.846,525.7320,151.0
1,-221.778,525.8168,146.0
2,-218.712,525.9016,150.0
3,-215.647,525.9864,151.0
4,-212.583,526.0712,148.0
5,-209.521,526.1560,151.0
6,-206.460,526.2407,147.0
7,-203.399,526.3255,147.0
8,-200.340,526.4102,148.0
9,-197.283,526.4950,147.0
10,-194.226,526.5797,151.0
11,-191.171,526.6645,149.0
12,-188.116,526.7492,150.0
13,-185.064,526.8339,147.0
14,-182.012,526.9186,151.0
15,-178.961,527.0033,148.0
16,-175.912,527.0880,147.0
17,-172.864,527.1727,150.0
18,-169.817,527.2574,149.0
19,-166.771,527.3421,149.0
20,-163.726,527.4268,149.0
21,-160.683,527.5115,145.0
22,-157.641,527.5962,150.0
23,-154.600,527.6808,148.0
24,-151.560,527.7655,149.0
25,-148.521,527.8501,150.0
26,-145.484,527.9348,149.0
27,-142.447,528.0194,146.0
28,-139.412,528.1040,150.0
29,-136.379,528.1887,151.0
30,-133.346,528.2733,149.0
31,-130.314,528.3579,148.0
32,-127.284,528.4425,147.0
33,-124.255,528.5271,147.0
34,-121.227,528.6117,147.0
35,-118.200,528.6963,147.0
36,-115.175,528.7809,150.0
37,-112.150,528.8655,147.0
38,-109.127,528.9500,148.0
39,-106.105,529.0346,149.0
40,-103.084,529.1191,148.0
41,-100.065,529.2037,152.0
42,-97.046,529.2882,149.0
43,-94.029,529.3728,147.0
44,-91.013,529.4573,146.0
45,-87.998,529.5419,151.0
46,-84.984,529.6264,151.0
47,-81.972,529.7109,149.0
48,-78.960,529.7954,149.0
49,-75.950,529.8799,148.0
50,-72.941,529.9644,150.0
51,-69.933,530.0489,150.0
52,-66.927,530.1334,147.0
53,-63.921,530.2179,149.0
54,-60.917,530.3023,150.0
55,-57.914,530.3868,148.0
56,-54.912,530.4713,146.0
57,-51.911,530.5557,150.0
58,-48.912,530.6402,148.0
59,-45.913,530.7246,147.0
60,-42.916,530.8090,148.0
61,-39.920,530.8935,149.0
62,-36.925,530.9779,152.0
63,-33.931,531.0623,150.0
64,-30.939,531.1467,152.0
65,-27.947,531.2311,156.0
66,-24.957,531.3155,154.0
67,-21.968,531.3999,149.0
68,-18.980,531.4843,150.0
69,-15.993,531.5687,147.0
70,-13.008,531.6531,149.0
71,-10.023,531.7374,149.0
72,-7.040,531.8218,149.0
73,-4.058,531.9062,149.0
74,-1.077,531.9905,149.0
75,1.903,532.0749,148.0
76,4.881,532.1592,150.0
77,7.859,532.2435,151.0
78,10.835,532.3279,149.0
79,13.810,532.4122,149.0
80,16.784,532.4965,150.0
81,19.757,532.5808,148.0
82,22.728,532.6651,148.0
83,25.699,532.7494,148.0
84,28.668,532.8337,148.0
85,31.636,532.9180,149.0
86,34.603,533.0022,149.0
87,37.569,533.0865,149.0
88,40.534,533.1708,148.0
89,43.497,533.2550,148.0
90,46.460,533.3393,148.0
91,49.421,533.4235,149.0
92,52.381,533.5078,149.0
93,55.340,533.5920,149.0
94,58.297,533.6762,149.0
95,61.254,533.7604,150.0
96,64.209,533.8447,148.0
97,67.164,533.9289,152.0
98,70.117,534.0131,151.0
99,73.069,534.0973,154.0
100,76.020,534.1814,153.0
101,78.969,534.2656,153.0
102,81.918,534.3498,152.0
103,84.865,534.4340,153.0
104,87.811,534.5181,153.0
105,90.757,534.6023,154.0
106,93.700,534.6864,153.0
107,96.643,534.7706,154.0
108,99.585,534.8547,151.0
109,102.525,534.9389,153.0
110,105.465,535.0230,153.0
111,108.403,535.1071,158.0
112,111.340,535.1912,149.0
113,114.276,535.2753,157.0
114,117.211,535.3594,155.0
115,120.144,535.4435,153.0
116,123.077,535.5276,154.0
117,126.008,535.6117,153.0
118,128.938,535.6958,153.0
119,131.868,535.7798,157.0
120,134.795,535.8639,156.0
121,137.722,535.9480,156.0
122,140.648,536.0320,158.0
123,143.572,536.1160,155.0
124,146.496,536.2001,155.0
125,149.418,536.2841,153.0
126,152.339,536.3681,155.0
127,155.259,536.4522,153.0
128,158.178,536.5362,155.0
129,161.096,536.6202,155.0
130,164.012,536.7042,156.0
131,166.928,536.7882,155.0
132,169.842,536.8722,158.0
133,172.755,536.9561,151.0
134,175.667,537.0401,157.0
135,178.578,537.1241,156.0
136,181.488,537.2080,157.0
137,184.397,537.2920,156.0
