# laser_power_pct,10
# exposure_time,2.00001
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.905,525.7304,103.0
1,-221.837,525.8152,103.0
2,-218.771,525.9000,103.0
3,-215.706,525.9848,103.0
4,-212.642,526.0696,104.0
5,-209.579,526.1544,102.0
6,-206.517,526.2391,101.0
7,-203.456,526.3239,103.0
8,-200.397,526.4087,102.0
9,-197.339,526.4934,102.0
10,-194.282,526.5782,103.0
11,-191.227,526.6629,103.0
12,-188.172,526.7476,103.0
13,-185.119,526.8324,105.0
14,-182.067,526.9171,103.0
15,-179.016,527.0018,103.0
16,-175.966,527.0865,103.0
17,-172.918,527.1712,103.0
18,-169.871,527.2559,103.0
19,-166.825,527.3406,102.0
20,-163.780,527.4253,102.0
21,-160.736,527.5100,104.0
22,-157.693,527.5947,103.0
23,-154.652,527.6793,104.0
24,-151.612,527.7640,102.0
25,-148.573,527.8487,101.0
26,-145.535,527.9333,102.0
27,-142.499,528.0180,101.0
28,-139.464,528.1026,104.0
29,-136.429,528.1872,104.0
30,-133.397,528.2719,103.0
31,-130.365,528.3565,103.0
32,-127.334,528.4411,102.0
33,-124.305,528.5257,103.0
34,-121.277,528.6103,103.0
35,-118.250,528.6949,102.0
36,-115.224,528.7795,103.0
37,-112.199,528.8641,104.0
38,-109.176,528.9487,101.0
39,-106.153,529.0332,103.0
40,-103.132,529.1178,103.0
41,-100.112,529.2024,102.0
42,-97.094,529.2869,101.0
43,-94.076,529.3715,100.0
44,-91.060,529.4560,103.0
45,-88.045,529.5405,104.0
46,-85.031,529.6251,102.0
47,-82.018,529.7096,104.0
48,-79.006,529.7941,101.0
49,-75.996,529.8786,102.0
50,-72.987,529.9631,99.0
51,-69.979,530.0476,102.0
52,-66.972,530.1321,102.0
53,-63.966,530.2166,100.0
54,-60.961,530.3011,105.0
55,-57.958,530.3856,103.0
56,-54.956,530.4700,102.0
57,-51.955,530.5545,102.0
58,-48.955,530.6390,102.0
59,-45.956,530.7234,104.0
60,-42.959,530.8078,102.0
61,-39.962,530.8923,103.0
62,-36.967,530.9767,105.0
63,-33.973,531.0611,106.0
64,-30.980,531.1456,112.0
65,-27.989,531.2300,135.0
66,-24.998,531.3144,206.0
67,-22.009,531.3988,107.0
68,-19.021,531.4832,105.0
69,-16.034,531.5676,104.0
70,-13.048,531.6519,102.0
71,-10.063,531.7363,102.0
72,-7.080,531.8207,103.0
73,-4.098,531.9050,100.0
74,-1.116,531.9894,101.0
75,1.864,532.0738,104.0
76,4.842,532.1581,103.0
77,7.820,532.2424,103.0
78,10.797,532.3268,104.0
79,13.772,532.4111,105.0
80,16.746,532.4954,104.0
81,19.719,532.5797,102.0
82,22.691,532.6640,103.0
83,25.662,532.7483,103.0
84,28.631,532.8326,103.0
85,31.599,532.9169,102.0
86,34.567,533.0012,102.0
87,37.533,533.0855,104.0
88,40.498,533.1697,100.0
89,43.461,533.2540,102.0
90,46.424,533.3383,103.0
91,49.385,533.4225,101.0
92,52.346,533.5068,102.0
93,55.305,533.5910,103.0
94,58.263,533.6752,104.0
95,61.219,533.7595,104.0
96,64.175,533.8437,102.0
97,67.130,533.9279,103.0
98,70.083,534.0121,105.0
99,73.035,534.0963,104.0
100,75.986,534.1805,103.0
101,78.936,534.2647,103.0
102,81.885,534.3489,105.0
103,84.832,534.4330,107.0
104,87.779,534.5172,104.0
105,90.724,534.6014,104.0
106,93.668,534.6855,105.0
107,96.611,534.7697,104.0
108,99.553,534.8538,104.0
109,102.494,534.9380,106.0
110,105.433,535.0221,104.0
111,108.372,535.1062,105.0
112,111.309,535.1903,103.0
113,114.245,535.2744,106.0
114,117.180,535.3586,105.0
115,120.114,535.4427,104.0
116,123.047,535.5267,104.0
117,125.978,535.6108,106.0
118,128.909,535.6949,105.0
119,131.838,535.7790,106.0
120,134.766,535.8631,105.0
121,137.693,535.9471,107.0
122,140.619,536.0312,107.0
123,143.544,536.1152,105.0
124,146.467,536.1993,104.0
125,149.390,536.2833,104.0
126,152.311,536.3673,104.0
127,155.231,536.4514,104.0
128,158.150,536.5354,107.0
129,161.068,536.6194,105.0
130,163.985,536.7034,102.0
131,166.901,536.7874,103.0
132,169.815,536.8714,104.0
133,172.729,536.9554,105.0
134,175.641,537.0393,103.0
135,178.552,537.1233,105.0
136,181.462,537.2073,103.0
137,184.371,537.2912,104.0
138,187.279,537.3752,105.0
139,190.185,537.4591,106.0
140,193.091,537.5431,105.0
141,195.995,537.6270,106.0
142,198.898,537.7109,103.0
143,201.800,537.7949,102.0
144,204.701,537.8788,105.0
145,207.601,537.9627,106.0
146,210.500,538.0466,106.0
147,213.397,538.1305,107.0
148,216.294,538.2144,106.0
149,219.189,538.2983,106.0
150,222.083,538.3821,107.0
151,224.976,538.4660,106.0
152,227.868,538.5499,106.0
153,230.759,538.6337,107.0
154,233.649,538.7176,106.0
155,236.537,538.8014,106.0
156,239.425,538.8853,105.0
157,242.311,538.9691,109.0
158,245.196,539.0529,108.0
159,248.081,539.1367,107.0
160,250.964,539.2206,108.0
161,253.845,539.3044,107.0
162,256.726,539.3882,109.0
163,259.606,539.4720,105.0
164,262.484,539.5557,107.0
165,265.362,539.6395,107.0
166,268.238,539.7233,106.0
167,271.113,539.8071,108.0
168,273.987,539.8908,107.0
169,276.860,539.9746,110.0
170,279.732,540.0583,108.0
171,282.603,540.1421,108.0
172,285.472,540.2258,111.0
173,288.341,540.3095,111.0
174,291.208,540.3933,109.0
175,294.075,540.4770,108.0
176,296.940,540.5607,107.0
177,299.804,540.6444,108.0
178,302.667,540.7281,107.0
179,305.529,540.8118,106.0
180,308.389,540.8955,106.0
181,311.249,540.9791,106.0
182,314.108,541.0628,105.0
183,316.965,541.1465,106.0
184,319.821,541.2301,107.0
185,322.676,541.3138,107.0
186,325.531,541.3974,105.0
187,328.384,541.4810,108.0
188,331.235,541.5647,109.0
189,334.086,541.6483,107.0
190,336.936,541.7319,108.0
191,339.785,541.8155,104.0
192,342.632,541.8991,105.0
193,345.478,541.9827,105.0
194,348.324,542.0663,106.0
195,351.168,542.1499,104.0
196,354.011,542.2335,107.0
197,356.853,542.3171,106.0
198,359.694,542.4006,105.0
199,362.534,542.4842,105.0
200,365.372,542.5677,106.0
201,368.210,542.6513,105.0
202,371.046,542.7348,108.0
203,373.882,542.8184,107.0
204,376.716,542.9019,104.0
205,379.549,542.9854,105.0
206,382.381,543.0689,108.0
207,385.212,543.1524,107.0
208,388.042,543.2359,104.0
209,390.871,543.3194,108.0
210,393.699,543.4029,105.0
211,396.526,543.4864,106.0
212,399.351,543.5699,105.0
213,402.176,543.6533,104.0
214,404.999,543.7368,104.0
215,407.821,543.8202,104.0
216,410.643,543.9037,105.0
217,413.463,543.9871,105.0
218,416.282,544.0706,105.0
219,419.100,544.1540,104.0
220,421.917,544.2374,104.0
221,424.732,544.3208,105.0
222,427.547,544.4042,104.0
223,430.361,544.4876,105.0
224,433.173,544.5710,104.0
225,435.985,544.6544,105.0
226,438.795,544.7378,105.0
227,441.604,544.8212,104.0
228,444.412,544.9045,105.0
229,447.219,544.9879,105.0
230,450.025,545.0713,106.0
231,452.830,545.1546,105.0
232,455.634,545.2379,104.0
233,458.437,545.3213,104.0
234,461.239,545.4046,106.0
235,464.039,545.4879,104.0
236,466.839,545.5712,104.0
237,469.637,545.6546,104.0
238,472.435,545.7379,104.0
239,475.231,545.8212,106.0
240,478.026,545.9044,106.0
241,480.820,545.9877,105.0
242,483.613,546.0710,108.0
243,486.405,546.1543,107.0
244,489.196,546.2375,107.0
245,491.986,546.3208,110.0
246,494.775,546.4040,116.0
247,497.563,546.4873,121.0
248,500.349,546.5705,135.0
249,503.135,546.6537,162.0
250,505.919,546.7370,249.0
251,508.703,546.8202,380.0
252,511.485,546.9034,378.0
253,514.266,546.9866,237.0
254,517.047,547.0698,157.0
255,519.826,547.1530,128.0
256,522.604,547.2361,115.0
257,525.381,547.3193,112.0
258,528.157,547.4025,110.0
259,530.932,547.4856,108.0
260,533.705,547.5688,106.0
261,536.478,547.6520,110.0
262,539.250,547.7351,106.0
263,542.020,547.8182,105.0
264,544.790,547.9014,106.0
265,547.558,547.9845,104.0
266,550.326,548.0676,104.0
267,553.092,548.1507,105.0
268,555.857,548.2338,106.0
269,558.622,548.3169,108.0
270,561.385,548.4000,104.0
271,564.147,548.4831,105.0
272,566.908,548.5661,104.0
273,569.668,548.6492,107.0
274,572.427,548.7323,104.0
275,575.185,548.8153,104.0
276,577.941,548.8984,104.0
277,580.697,548.9814,105.0
278,583.452,549.0644,105.0
279,586.205,549.1475,103.0
280,588.958,549.2305,104.0
281,591.710,549.3135,105.0
282,594.460,549.3965,107.0
283,597.209,549.4795,106.0
284,599.958,549.5625,102.0
285,602.705,549.6455,104.0
286,605.451,549.7285,103.0
287,608.196,549.8114,104.0
288,610.941,549.8944,105.0
289,613.684,549.9774,104.0
290,616.426,550.0603,104.0
291,619.167,550.1432,103.0
292,621.907,550.2262,104.0
293,624.645,550.3091,105.0
294,627.383,550.3920,104.0
295,630.120,550.4750,105.0
296,632.856,550.5579,103.0
297,635.590,550.6408,107.0
298,638.324,550.7237,104.0
299,641.057,550.8066,106.0
300,643.788,550.8894,102.0
301,646.519,550.9723,105.0
