# laser_power_pct,5
# exposure_time,1.00002
# laser_nm,532.021
# mode,single
pixel_index,raman_shift_cm-1,wavelength_nm,intensity
0,-224.846,525.7320,98.0
1,-221.778,525.8168,99.0
2,-218.712,525.9016,99.0
3,-215.647,525.9864,99.0
4,-212.583,526.0712,99.0
5,-209.521,526.1560,98.0
6,-206.460,526.2407,98.0
7,-203.399,526.3255,99.0
8,-200.340,526.4102,99.0
9,-197.283,526.4950,97.0
10,-194.226,526.5797,99.0
11,-191.171,526.6645,99.0
12,-188.116,526.7492,98.0
13,-185.064,526.8339,98.0
14,-182.012,526.9186,99.0
15,-178.961,527.0033,98.0
16,-175.912,527.0880,99.0
17,-172.864,527.1727,244.0
18,-169.817,527.2574,238.0
19,-166.771,527.3421,400.0
20,-163.726,527.4268,1452.0
21,-160.683,527.5115,410.0
22,-157.641,527.5962,102.0
23,-154.600,527.6808,98.0
24,-151.560,527.7655,96.0
25,-148.521,527.8501,96.0
26,-145.484,527.9348,97.0
27,-142.447,528.0194,99.0
28,-139.412,528.1040,99.0
29,-136.379,528.1887,97.0
30,-133.346,528.2733,98.0
31,-130.314,528.3579,99.0
32,-127.284,528.4425,97.0
33,-124.255,528.5271,97.0
34,-121.227,528.6117,98.0
35,-118.200,528.6963,97.0
36,-115.175,528.7809,99.0
37,-112.150,528.8655,100.0
38,-109.127,528.9500,97.0
39,-106.105,529.0346,99.0
40,-103.084,529.1191,98.0
41,-100.065,529.2037,98.0
42,-97.046,529.2882,99.0
43,-94.029,529.3728,99.0
44,-91.013,529.4573,99.0
45,-87.998,529.5419,97.0
46,-84.984,529.6264,101.0
47,-81.972,529.7109,99.0
48,-78.960,529.7954,95.0
49,-75.950,529.8799,99.0
50,-72.941,529.9644,99.0
51,-69.933,530.0489,98.0
52,-66.927,530.1334,98.0
53,-63.921,530.2179,99.0
54,-60.917,530.3023,98.0
55,-57.914,530.3868,97.0
56,-54.912,530.4713,97.0
57,-51.911,530.5557,100.0
58,-48.912,530.6402,96.0
59,-45.913,530.7246,99.0
60,-42.916,530.8090,97.0
61,-39.920,530.8935,98.0
62,-36.925,530.9779,98.0
63,-33.931,531.0623,101.0
64,-30.939,531.1467,102.0
65,-27.947,531.2311,103.0
66,-24.957,531.3155,106.0
67,-21.968,531.3999,102.0
68,-18.980,531.4843,98.0
69,-15.993,531.5687,97.0
70,-13.008,531.6531,98.0
71,-10.023,531.7374,98.0
72,-7.040,531.8218,98.0
73,-4.058,531.9062,98.0
74,-1.077,531.9905,97.0
75,1.903,532.0749,98.0
76,4.881,532.1592,98.0
77,7.859,532.2435,99.0
78,10.835,532.3279,100.0
79,13.810,532.4122,99.0
80,16.784,532.4965,98.0
81,19.757,532.5808,99.0
82,22.728,532.6651,97.0
83,25.699,532.7494,96.0
84,28.668,532.8337,98.0
85,31.636,532.9180,98.0
86,34.603,533.0022,98.0
87,37.569,533.0865,97.0
88,40.534,533.1708,98.0
89,43.497,533.2550,99.0
90,46.460,533.3393,97.0
91,49.421,533.4235,99.0
92,52.381,533.5078,100.0
93,55.340,533.5920,98.0
94,58.297,533.6762,98.0
95,61.254,533.7604,98.0
96,64.209,533.8447,99.0
97,67.164,533.9289,103.0
98,70.117,534.0131,101.0
99,73.069,534.0973,103.0
100,76.020,534.1814,103.0
101,78.969,534.2656,103.0
102,81.918,534.3498,103.0
103,84.865,534.4340,104.0
104,87.811,534.5181,105.0
105,90.757,534.6023,103.0
106,93.700,534.6864,106.0
107,96.643,534.7706,104.0
108,99.585,534.8547,104.0
109,102.525,534.9389,103.0
110,105.465,535.0230,104.0
111,108.403,535.1071,104.0
112,111.340,535.1912,104.0
113,114.276,535.2753,104.0
114,117.211,535.3594,106.0
115,120.144,535.4435,106.0
116,123.077,535.5276,104.0
117,126.008,535.6117,104.0
118,128.938,535.6958,104.0
119,131.868,535.7798,105.0
120,134.795,535.8639,106.0
121,137.722,535.9480,107.0
122,140.648,536.0320,106.0
123,143.572,536.1160,104.0
124,146.496,536.2001,105.0
125,149.418,536.2841,107.0
126,152.339,536.3681,105.0
127,155.259,536.4522,106.0
128,158.178,536.5362,106.0
129,161.096,536.6202,105.0
130,164.012,536.7042,105.0
131,166.928,536.7882,107.0
132,169.842,536.8722,105.0
133,172.755,536.9561,104.0
134,175.667,537.0401,107.0
135,178.578,537.1241,105.0
136,181.488,537.2080,108.0
137,184.397,537.2920,106.0
138,187.304,537.3759,105.0
139,190.211,537.4599,109.0
140,193.116,537.5438,106.0
141,196.020,537.6277,107.0
142,198.923,537.7117,108.0
143,201.825,537.7956,108.0
144,204.726,537.8795,107.0
145,207.625,537.9634,107.0
146,210.524,538.0473,108.0
147,213.421,538.1312,107.0
148,216.318,538.2151,107.0
149,219.213,538.2990,107.0
150,222.107,538.3828,107.0
151,225.000,538.4667,108.0
152,227.891,538.5505,108.0
153,230.782,538.6344,106.0
154,233.672,538.7182,106.0
155,236.560,538.8021,107.0
156,239.447,538.8859,107.0
157,242.333,538.9697,106.0
158,245.218,539.0536,106.0
159,248.102,539.1374,108.0
160,250.985,539.2212,110.0
161,253.867,539.3050,109.0
162,256.748,539.3888,107.0
163,259.627,539.4726,109.0
164,262.505,539.5564,107.0
165,265.383,539.6401,107.0
166,268.259,539.7239,109.0
167,271.134,539.8077,108.0
168,274.008,539.8914,109.0
169,276.880,539.9752,107.0
170,279.752,540.0589,107.0
171,282.623,540.1426,111.0
172,285.492,540.2264,107.0
173,288.360,540.3101,109.0
174,291.228,540.3938,108.0
175,294.094,540.4775,108.0
176,296.959,540.5612,107.0
177,299.823,540.6449,109.0
178,302.685,540.7286,109.0
179,305.547,540.8123,110.0
180,308.408,540.8960,107.0
181,311.267,540.9797,108.0
182,314.126,541.0633,112.0
183,316.983,541.1470,108.0
184,319.839,541.2306,108.0
185,322.694,541.3143,108.0
186,325.548,541.3979,108.0
187,328.401,541.4816,110.0
188,331.253,541.5652,111.0
189,334.103,541.6488,109.0
190,336.953,541.7324,107.0
191,339.801,541.8160,111.0
192,342.649,541.8996,112.0
193,345.495,541.9832,111.0
194,348.340,542.0668,111.0
195,351.184,542.1504,114.0
196,354.027,542.2340,109.0
197,356.869,542.3175,109.0
198,359.709,542.4011,110.0
199,362.549,542.4846,109.0
200,365.388,542.5682,109.0
201,368.225,542.6517,109.0
202,371.061,542.7353,110.0
203,373.897,542.8188,109.0
204,376.731,542.9023,110.0
205,379.564,542.9858,107.0
206,382.396,543.0693,110.0
207,385.227,543.1529,109.0
208,388.057,543.2363,113.0
